token-based authentication	A design in which the browser holds a signed token that carries the sign-in itself, with no server-side record.	token-based
REST API	A web interface that follows the REST style, with URLs for things and HTTP methods for actions.
pipes and filters	An architecture in which data flows through a line of small stages, each doing one job.
copy-on-write	A technique in which a change makes a new copy and leaves the old one untouched, so that readers never see a half-changed value.
sliding window log	A rate-limit method that keeps the timestamps of recent requests and counts those inside the window.
rate limiter	Code that refuses requests beyond a set number in a period.
token bucket	A rate-limit method in which requests spend tokens that refill at a steady rate.
reserve then compensate	A technique that takes a resource before a risky step and hands it back if the step does not go ahead.	reserve;compensate
image tag	A movable name for a Docker image, such as `24-alpine`, which can later point at a different image.
GitHub Actions	GitHub's service that runs workflows, such as the project's tests, on every change.
job	A group of steps that run together on one machine in a GitHub Actions workflow.
keepalive_timeout	The nginx setting for how long an idle connection stays open; it must exceed the load balancer's idle timeout.
stopTimeout	The ECS setting for how long a container gets to shut down after it is told to stop.
Elastic Load Balancing	The family of AWS load-balancing services, of which the Application Load Balancer is one.
bucket	A named container for objects in Amazon S3.
object storage	A kind of storage that keeps whole files as objects under keys, instead of in folders on a disk.
S3 Block Public Access	An S3 setting that stops any bucket or object from being made public.
staging directory	A temporary folder where a render is built and checked before it is moved into place.
safety net	A rule that stops a cleanup job from deleting when its inputs look wrong, such as a missing current version.
web ACL	The set of AWS WAF rules that you attach to a load balancer or a CloudFront distribution.
private subnet	A subnet with no route from the internet.
IAM policy	A document that lists which actions on which resources an IAM role or user may perform.
Terraform	A tool that creates cloud resources from files that describe them.
